record_id,district,latitude,longitude,elevation_m,slope_deg,rainfall_24h_mm,rainfall_72h_mm,rainfall_7d_mm,soil_moisture_index,soil_type,geology,land_cover,ndvi,road_distance_km,river_distance_km,road_cutting,deforestation_index,landslide_occurrence,risk_score,risk_level
47,West Karbi Anglong,24.913478,95.227432,256.88,31.45,47.99,164.61,326.99,0.396,alluvial,weathered_mixed_rock,forest,0.647,3.557,0.842,0,0.227,1,65.9,High
48,Kamrup,24.200484,92.848936,385.57,12.48,51.5,168.34,477.17,0.359,colluvial,alluvium,forest,0.725,1.005,3.412,1,0.093,0,49.94,Moderate
49,Kamrup,24.241322,91.502939,262.96,9.38,119.9,416.89,1145.66,0.416,colluvial,shale,forest,0.6,6.402,1.458,0,0.188,1,60.88,High
50,Karbi Anglong,24.631339,94.302015,1041.2,14.88,72.24,190.08,765.98,0.329,alluvial,weathered_mixed_rock,built_up,0.655,0.045,2.423,1,0.356,1,57.34,High
51,Nalbari,24.128493,95.678815,64.61,1.65,87.6,170.85,691.72,0.243,colluvial,sandstone,grassland,0.551,1.827,0.399,0,0.57,0,27.06,Moderate
52,Sivasagar,25.819653,94.550067,28.8,7.42,84.0,167.2,455.49,0.368,clayey,shale,forest,0.69,1.472,0.788,0,0.312,1,36.63,Moderate
53,Karimganj,24.275284,95.440451,294.83,18.13,65.85,175.77,566.61,0.444,clayey,shale,forest,0.685,1.593,0.067,0,0.232,1,56.33,High
54,Chirang,27.643869,90.451829,26.05,1.92,12.04,108.3,176.46,0.381,sandy_loam,sandstone,cropland,0.733,1.885,2.721,0,0.176,0,18.32,Low
55,Darrang,27.061953,95.522829,12.71,2.28,59.26,206.03,594.44,0.348,weathered_rock,alluvium,forest,0.42,3.312,2.392,0,0.663,1,29.07,Moderate
56,Bongaigaon,27.369664,94.177897,27.26,1.63,19.22,78.82,383.01,0.185,alluvial,gneiss,shrubland,0.51,3.206,0.02,0,0.383,1,13.74,Low
57,Dima Hasao,26.655165,94.880388,282.91,22.15,28.1,119.25,309.17,0.338,sandy_loam,sandstone,cropland,0.644,0.624,11.327,0,0.386,1,51.7,High
58,Karbi Anglong,26.854673,92.351652,135.64,34.86,191.02,650.0,1174.7,0.614,sandy_loam,sandstone,grassland,0.675,20.107,1.645,0,0.358,1,90.03,Very High
59,Dima Hasao,24.487663,93.290818,549.07,6.64,158.67,334.64,997.28,0.298,sandy_loam,granite,forest,0.658,1.059,4.855,0,0.248,1,51.49,High
60,Cachar,24.250121,93.564008,358.49,26.28,69.66,173.15,426.54,0.279,sandy_loam,alluvium,shrubland,0.678,3.257,1.768,0,0.273,0,58.27,High
61,Cachar,28.253621,92.968273,148.99,14.49,72.38,180.65,464.76,0.374,alluvial,gneiss,forest,0.565,3.959,0.074,0,0.451,1,49.13,Moderate
62,West Karbi Anglong,25.603682,90.308431,427.2,19.04,26.68,91.68,343.3,0.294,colluvial,alluvium,cropland,0.685,0.148,0.334,0,0.253,1,47.19,Moderate
63,Nagaon,24.220461,91.161519,46.07,9.42,99.9,249.6,917.32,0.434,alluvial,sandstone,forest,0.417,0.279,0.08,0,0.35,1,50.0,Moderate
64,Cachar,24.686478,90.579145,359.66,36.9,32.19,115.15,362.92,0.321,sandy_loam,sandstone,forest,0.573,5.269,0.635,0,0.545,1,67.0,High
65,West Karbi Anglong,27.759086,94.917088,678.72,16.69,78.3,297.42,659.06,0.514,clayey,alluvium,shrubland,0.578,0.11,0.047,0,0.367,1,65.52,High
66,Kamrup,24.884934,92.047294,1067.06,11.58,149.4,525.66,1200.0,0.501,weathered_rock,shale,forest,0.705,0.404,1.112,1,0.434,1,74.87,High
67,Karbi Anglong,26.008281,91.514337,655.92,7.85,48.24,101.51,377.56,0.409,clayey,weathered_mixed_rock,cropland,0.775,4.134,1.237,0,0.313,1,33.78,Moderate
68,Golaghat,26.870139,91.075472,78.24,4.95,30.98,231.62,483.89,0.35,clayey,shale,cropland,0.654,4.392,2.964,0,0.073,0,29.89,Moderate
69,Dima Hasao,28.153231,94.123833,637.63,2.07,86.72,161.3,592.66,0.502,sandy_loam,alluvium,grassland,0.695,0.07,0.16,0,0.152,0,38.06,Moderate
70,Majuli,24.060598,92.97643,82.89,2.63,34.44,154.29,430.97,0.352,alluvial,gneiss,forest,0.493,11.605,0.294,0,0.203,1,22.32,Low
71,Sivasagar,26.096605,93.430044,157.92,4.86,90.7,221.02,594.43,0.286,alluvial,weathered_mixed_rock,shrubland,0.506,0.815,0.192,0,0.4,1,36.97,Moderate
72,Karbi Anglong,28.282937,94.464955,520.58,12.85,89.86,409.09,1131.53,0.503,clayey,alluvium,forest,0.609,6.144,1.368,0,0.388,0,64.58,High
73,Dima Hasao,24.523405,95.809948,308.52,20.41,27.35,154.65,355.21,0.357,alluvial,alluvium,forest,0.609,1.899,0.531,1,0.296,0,57.03,High
74,Golaghat,24.531983,94.369495,26.52,0.12,101.8,306.26,719.59,0.361,lateritic,granite,forest,0.68,2.144,0.484,0,0.163,0,34.98,Moderate
75,Dhemaji,24.374282,95.818056,32.2,0.76,8.03,136.69,461.81,0.263,alluvial,sandstone,cropland,0.657,6.593,1.085,0,0.416,0,16.23,Low
76,Tinsukia,26.183729,94.095196,153.59,2.99,107.66,279.09,509.66,0.359,alluvial,sandstone,shrubland,0.518,1.105,0.095,0,0.461,0,40.95,Moderate
77,Sivasagar,25.498168,93.966472,25.33,1.35,61.68,258.99,855.61,0.413,sandy_loam,granite,forest,0.406,2.848,0.562,0,0.417,1,32.62,Moderate
78,Dima Hasao,27.079892,90.608675,874.31,16.83,104.81,353.28,906.64,0.441,alluvial,sandstone,forest,0.49,4.321,0.086,0,0.737,1,66.74,High
79,Cachar,26.456576,90.28574,444.77,10.42,65.52,251.98,578.85,0.348,alluvial,alluvium,cropland,0.525,3.278,1.895,0,0.399,1,45.08,Moderate
80,Dima Hasao,26.497612,89.850754,488.75,1.5,94.12,225.27,451.46,0.381,alluvial,gneiss,cropland,0.477,1.042,0.029,0,0.445,0,38.89,Moderate
81,Morigaon,26.197554,94.070435,16.26,2.4,55.43,199.69,675.7,0.245,sandy_loam,alluvium,cropland,0.731,3.17,0.763,0,0.162,0,23.24,Low
82,Udalguri,28.265879,93.789065,286.44,27.21,72.59,370.31,607.42,0.498,alluvial,alluvium,cropland,0.793,0.083,0.301,0,0.198,1,76.82,Very High
83,Cachar,26.317911,93.677377,255.42,33.67,89.96,351.71,1024.68,0.512,sandy_loam,weathered_mixed_rock,forest,0.355,0.992,3.697,0,0.698,1,81.18,Very High
84,Dima Hasao,24.311161,93.637969,553.85,6.52,66.42,236.26,497.81,0.38,sandy_loam,weathered_mixed_rock,forest,0.331,0.571,4.537,1,0.465,1,51.22,High
85,West Karbi Anglong,25.385437,94.036676,463.33,15.92,51.0,141.78,538.69,0.357,sandy_loam,weathered_mixed_rock,built_up,0.624,0.609,4.254,1,0.46,1,54.97,High
86,Cachar,27.356913,94.963787,241.07,27.66,48.28,266.93,824.76,0.439,lateritic,granite,forest,0.774,5.457,2.768,0,0.106,0,67.39,High
87,Tinsukia,26.702357,94.274467,23.52,3.0,139.8,453.94,996.45,0.507,alluvial,alluvium,forest,0.332,3.136,1.707,0,0.823,1,57.13,High
88,Sonitpur,26.940975,93.475563,450.84,24.23,56.39,151.7,455.29,0.329,sandy_loam,weathered_mixed_rock,forest,0.498,0.554,0.788,1,0.393,1,63.24,High
89,Baksa,27.963767,91.072982,32.93,1.41,32.89,109.56,513.0,0.245,sandy_loam,granite,cropland,0.599,0.7,1.778,0,0.231,1,17.12,Low
90,Goalpara,25.908255,94.533804,298.84,7.37,103.29,327.25,1006.75,0.445,alluvial,shale,bare_land,0.816,1.111,0.893,0,0.191,1,54.13,High
91,Dima Hasao,24.083945,91.272636,218.72,37.54,104.22,408.36,901.5,0.456,sandy_loam,gneiss,cropland,0.737,0.868,4.855,0,0.285,1,85.29,Very High
92,Dhemaji,28.257387,93.985967,27.19,0.53,59.84,146.03,277.13,0.278,alluvial,sandstone,forest,0.642,2.054,2.862,0,0.135,1,18.14,Low
93,Dibrugarh,25.954684,90.548636,22.28,4.77,103.13,310.15,659.92,0.504,weathered_rock,alluvium,cropland,0.547,2.683,1.977,0,0.353,0,46.62,Moderate
94,Kamrup Metropolitan,24.41973,92.913265,309.47,12.32,145.28,516.49,1200.0,0.582,alluvial,weathered_mixed_rock,shrubland,0.502,0.02,1.118,0,0.485,1,74.92,High
95,Sivasagar,26.358912,93.687322,31.83,0.72,30.52,122.49,402.48,0.285,alluvial,gneiss,forest,0.608,0.484,4.884,0,0.194,0,17.4,Low
96,Goalpara,26.537874,94.835656,96.92,2.79,51.66,103.23,338.18,0.288,clayey,weathered_mixed_rock,forest,0.758,0.035,1.84,0,0.269,0,27.03,Moderate
97,Kamrup,26.426634,94.125989,487.72,5.43,45.12,115.77,359.08,0.434,sandy_loam,alluvium,grassland,0.541,1.926,2.673,0,0.272,0,29.63,Moderate
98,Hailakandi,28.149147,94.780549,272.43,48.0,92.97,273.85,1094.71,0.433,lateritic,shale,forest,0.378,1.122,0.222,1,0.601,1,84.93,Very High
99,Dima Hasao,25.374432,95.087838,668.84,20.69,26.95,62.91,260.2,0.297,alluvial,sandstone,forest,0.774,1.423,2.385,1,0.115,1,49.01,Moderate
100,Dima Hasao,24.148406,95.223023,184.73,11.47,40.53,126.06,408.93,0.35,sandy_loam,granite,forest,0.596,1.921,0.531,0,0.27,0,37.44,Moderate
101,Dima Hasao,27.954935,95.250521,287.45,20.48,66.94,262.17,1027.35,0.514,alluvial,granite,bare_land,0.589,1.856,3.494,1,0.243,0,67.35,High
102,Sonitpur,24.822326,91.36009,84.0,23.28,123.19,212.22,585.09,0.314,alluvial,sandstone,built_up,0.71,0.02,2.111,1,0.188,1,66.28,High
103,West Karbi Anglong,27.222632,94.78981,331.38,17.35,58.25,220.61,588.99,0.343,sandy_loam,alluvium,forest,0.628,0.616,3.285,1,0.154,0,58.68,High
104,Kamrup,24.877242,89.806655,207.51,21.96,60.23,212.07,775.82,0.482,sandy_loam,weathered_mixed_rock,shrubland,0.674,2.588,0.965,0,0.326,1,62.08,High
105,Kokrajhar,27.564594,95.597057,43.1,5.19,70.65,145.48,519.69,0.444,weathered_rock,weathered_mixed_rock,bare_land,0.7,0.347,2.223,0,0.171,0,35.25,Moderate
106,West Karbi Anglong,27.897445,90.873139,216.83,19.16,220.72,445.01,1187.77,0.542,weathered_rock,gneiss,built_up,0.408,0.533,2.587,0,0.345,1,77.25,Very High
107,Hailakandi,24.453034,95.266073,304.67,11.34,85.63,209.9,563.78,0.392,sandy_loam,alluvium,built_up,0.751,0.546,2.427,1,0.114,0,54.3,High
108,Dibrugarh,24.633281,94.767118,49.14,1.21,15.86,107.73,377.94,0.225,weathered_rock,sandstone,forest,0.555,4.955,2.072,0,0.464,0,15.23,Low
109,Karbi Anglong,27.978742,92.1541,124.71,10.38,45.79,290.27,552.82,0.489,weathered_rock,alluvium,built_up,0.699,1.17,0.577,0,0.137,1,53.43,High
110,Dima Hasao,27.314029,95.76941,264.66,12.68,119.32,242.0,480.5,0.401,colluvial,sandstone,forest,0.499,6.035,0.743,0,0.741,1,55.75,High
111,West Karbi Anglong,24.167257,90.292586,213.56,32.12,55.24,275.04,754.13,0.385,clayey,sandstone,grassland,0.56,0.594,0.301,1,0.332,1,75.99,Very High
112,Karbi Anglong,24.783458,91.533279,223.42,18.23,24.82,169.57,611.48,0.373,alluvial,shale,bare_land,0.611,0.327,0.99,0,0.086,1,51.38,High
113,Dhubri,25.771928,91.29533,27.57,2.49,32.07,136.74,454.99,0.287,lateritic,granite,forest,0.525,0.14,1.242,0,0.233,1,22.41,Low
114,Golaghat,27.716053,89.751734,83.65,5.65,33.7,150.5,427.55,0.448,clayey,alluvium,bare_land,0.661,0.026,0.03,0,0.248,1,35.26,Moderate
115,Sonitpur,24.649548,90.737068,129.6,23.0,60.94,151.98,525.86,0.402,lateritic,weathered_mixed_rock,cropland,0.596,1.899,2.305,1,0.322,1,62.55,High
116,Morigaon,27.113803,94.702437,80.85,6.34,79.77,169.75,559.9,0.352,weathered_rock,sandstone,forest,0.728,5.224,0.176,0,0.392,1,34.18,Moderate
117,Golaghat,24.359972,94.940277,81.41,2.03,63.88,322.13,946.88,0.481,clayey,granite,cropland,0.443,5.369,5.268,0,0.517,1,39.8,Moderate
118,Karbi Anglong,26.008827,94.39378,476.77,19.0,31.23,133.35,264.84,0.303,sandy_loam,shale,forest,0.816,0.357,2.372,0,0.099,1,47.33,Moderate
119,Baksa,27.134674,93.149493,86.93,2.5,94.47,310.74,657.22,0.489,sandy_loam,weathered_mixed_rock,forest,0.675,5.167,0.192,0,0.161,0,42.32,Moderate
120,Kamrup,24.278268,93.68353,323.34,13.09,27.31,44.09,204.97,0.282,sandy_loam,sandstone,forest,0.543,11.622,2.892,0,0.567,0,29.99,Moderate
121,Golaghat,24.878226,93.363801,35.05,4.06,91.86,236.61,822.26,0.381,clayey,weathered_mixed_rock,forest,0.661,0.532,1.24,0,0.139,0,38.29,Moderate
122,Chirang,27.404779,91.289586,31.56,7.94,69.2,254.41,883.29,0.321,alluvial,sandstone,cropland,0.54,0.023,0.279,0,0.215,0,42.84,Moderate
123,Cachar,24.70313,92.123208,188.84,27.18,112.69,356.9,1200.0,0.413,lateritic,weathered_mixed_rock,shrubland,0.711,1.696,0.02,0,0.156,1,75.52,Very High
124,Dima Hasao,26.870404,94.855843,97.74,3.08,53.96,214.54,653.29,0.431,weathered_rock,gneiss,grassland,0.851,2.833,1.035,0,0.105,1,35.0,Moderate
125,Karbi Anglong,26.761403,90.290643,291.12,8.46,88.93,229.85,834.47,0.416,sandy_loam,weathered_mixed_rock,forest,0.372,1.223,0.894,1,0.505,1,55.0,High
126,Hailakandi,26.237693,89.943976,282.88,33.73,44.4,173.52,426.03,0.463,sandy_loam,weathered_mixed_rock,forest,0.485,2.199,2.371,1,0.482,1,72.89,High
127,Nagaon,24.867355,94.034791,81.14,4.62,44.29,190.77,439.32,0.375,alluvial,weathered_mixed_rock,shrubland,0.626,2.911,0.073,0,0.207,0,30.77,Moderate
128,Morigaon,25.792843,94.98205,134.66,3.03,7.34,23.69,118.21,0.429,lateritic,weathered_mixed_rock,grassland,0.579,0.691,1.235,0,0.597,1,19.87,Low
129,Dima Hasao,26.673603,93.588894,158.65,21.2,124.67,383.44,1033.31,0.56,lateritic,alluvium,forest,0.495,3.392,1.483,0,0.571,1,73.9,High
130,Kamrup,27.791414,94.502716,1428.95,19.83,167.73,395.31,975.23,0.605,colluvial,gneiss,cropland,0.567,0.165,2.051,1,0.277,1,76.83,Very High
131,Hailakandi,27.430777,95.857085,925.98,14.11,34.72,85.29,310.12,0.375,clayey,alluvium,cropland,0.504,0.846,3.187,0,0.672,1,41.73,Moderate
132,Karbi Anglong,26.611582,93.674945,193.53,25.45,68.14,281.54,846.71,0.415,clayey,alluvium,cropland,0.494,4.91,1.817,0,0.396,0,67.66,High
133,Dima Hasao,24.982425,92.497968,814.33,9.04,64.62,132.69,475.12,0.343,alluvial,sandstone,forest,0.531,0.448,2.238,1,0.385,1,45.42,Moderate
134,Cachar,24.931807,95.956999,915.76,17.72,68.34,290.59,801.44,0.46,sandy_loam,weathered_mixed_rock,built_up,0.623,5.404,0.568,0,0.314,1,62.04,High
135,Karimganj,27.499715,93.660176,391.87,19.89,31.87,216.53,655.94,0.452,sandy_loam,alluvium,cropland,0.672,0.992,14.651,1,0.265,1,62.42,High
136,Cachar,26.857015,90.818164,269.53,23.68,83.97,251.17,443.44,0.399,alluvial,shale,shrubland,0.724,0.293,0.397,0,0.197,1,66.56,High
137,Kamrup,25.53966,94.016367,257.03,9.22,85.34,226.71,516.82,0.404,sandy_loam,gneiss,grassland,0.664,3.054,2.552,0,0.219,1,44.29,Moderate
138,Lakhimpur,28.177369,94.381713,65.56,2.28,84.79,309.96,1074.91,0.281,alluvial,sandstone,shrubland,0.673,0.421,1.121,0,0.065,1,35.47,Moderate
139,Cachar,27.825971,89.771021,191.74,19.48,85.24,235.37,871.89,0.367,weathered_rock,granite,cropland,0.434,0.059,2.066,0,0.488,1,61.99,High
140,Nalbari,26.8875,92.42788,83.8,4.12,173.05,329.03,1016.4,0.414,lateritic,sandstone,cropland,0.443,0.898,2.522,0,0.433,1,50.79,High
141,Karimganj,25.587688,95.661827,675.88,48.0,58.02,292.17,822.01,0.384,lateritic,weathered_mixed_rock,forest,0.649,0.659,7.779,1,0.173,1,84.89,Very High
142,West Karbi Anglong,25.327653,94.842328,288.29,15.66,15.88,46.12,166.09,0.238,alluvial,weathered_mixed_rock,cropland,0.628,0.922,4.257,0,0.289,1,33.53,Moderate
143,Goalpara,28.03935,90.989833,238.39,13.47,59.99,234.33,715.27,0.364,lateritic,alluvium,forest,0.75,1.286,0.357,0,0.328,1,50.9,High
144,West Karbi Anglong,25.906904,91.619273,1001.3,9.08,32.35,136.78,450.87,0.409,alluvial,sandstone,forest,0.726,2.831,1.9,0,0.272,1,34.0,Moderate
145,West Karbi Anglong,27.440074,93.859135,256.5,48.0,26.98,112.79,435.52,0.19,lateritic,alluvium,built_up,0.633,1.138,0.671,1,0.172,1,74.56,High
146,Dima Hasao,28.040805,95.449739,260.73,32.46,107.88,346.15,612.21,0.484,sandy_loam,alluvium,shrubland,0.547,2.152,0.433,1,0.453,1,80.65,Very High
147,Udalguri,26.115629,95.232368,811.85,20.46,126.19,253.93,508.11,0.381,colluvial,granite,forest,0.358,2.034,1.442,1,0.581,0,67.16,High
148,Goalpara,26.808366,91.229579,547.15,20.53,62.7,182.67,583.02,0.286,clayey,weathered_mixed_rock,shrubland,0.607,2.657,0.161,1,0.479,1,61.03,High
149,Dima Hasao,24.370898,93.993374,1277.17,9.24,44.38,84.24,304.71,0.329,sandy_loam,sandstone,grassland,0.616,9.483,1.776,0,0.317,1,29.2,Moderate
150,West Karbi Anglong,26.8061,93.254277,424.12,18.7,48.52,97.85,367.98,0.341,lateritic,alluvium,built_up,0.559,0.925,0.434,0,0.351,0,48.12,Moderate
151,Kokrajhar,24.924859,92.067436,21.07,2.65,121.03,410.69,1021.26,0.358,clayey,weathered_mixed_rock,shrubland,0.446,1.531,2.16,0,0.486,0,50.27,High
152,West Karbi Anglong,26.883259,91.596571,428.29,3.38,108.36,238.66,703.2,0.408,clayey,granite,shrubland,0.507,4.714,3.35,0,0.567,1,41.07,Moderate
153,Karbi Anglong,24.434496,92.839396,403.29,4.11,135.11,345.04,1200.0,0.415,clayey,sandstone,bare_land,0.66,0.749,2.216,1,0.225,1,58.29,High
154,Goalpara,26.129395,93.281393,233.38,12.94,162.97,318.03,1076.35,0.285,lateritic,gneiss,shrubland,0.491,1.235,2.401,1,0.314,0,62.98,High
155,Majuli,26.240373,95.366742,33.18,0.35,47.95,161.92,577.83,0.263,alluvial,sandstone,built_up,0.675,2.768,4.295,0,0.158,0,18.09,Low
156,West Karbi Anglong,26.079133,94.419619,565.81,48.0,32.76,92.76,290.14,0.429,weathered_rock,shale,bare_land,0.721,0.229,0.166,0,0.271,1,76.47,Very High
157,Biswanath,27.253914,90.079055,23.89,0.51,75.02,213.75,645.89,0.442,lateritic,alluvium,grassland,0.593,1.02,0.353,0,0.405,0,32.36,Moderate
158,Dibrugarh,27.244439,90.814456,23.53,3.96,52.56,302.24,784.34,0.427,alluvial,alluvium,cropland,0.573,1.66,3.228,0,0.446,1,38.26,Moderate
159,West Karbi Anglong,27.037425,91.197679,482.94,30.05,36.35,138.31,507.18,0.291,colluvial,gneiss,cropland,0.582,1.743,0.788,1,0.233,1,65.5,High
